I need to make sure to reach ~40-50 events.類別,子類別,事件名稱,開始日期,結束日期,備註,Link1,Link2
政策與監管衝擊,貿易限制,美國政府允許NVIDIA H20及AMD MI308恢復出口中國,2025-07-16,2025-07-16,美國政府放寬AI晶片出口限制，允許NVIDIA H20和AMD MI308等合規晶片向中國出口，替NVIDIA重啟數十億美元潛在營收，並引發中國市場搶購潮。,https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQHptV9dkc7-VlMqpcBG10oKQbRDYJ8Te3kgyaZF6ybtM6OVuostA2zpSHZ2M_H6OXktCKAwpko2R6fllGtTBT4I2YXGZQkwDl5uO_ssnwSj4xasnnUmXxW4dvbZDVJwOOyyPPjcTPEnufkvfIADW6HtdnG7FryqSlRwFxVQK8_Hz45drp-hL-Su,
市場與資本,股價波動,AI資料中心需求引爆記憶體晶片價格飆漲,2026-01-05,2026-01-13,AI數據中心對高效能記憶體晶片需求激增，導致DRAM與HBM等記憶體價格持續上漲，引發相關類股全面走揚，供應商將產能優先分配給利潤更高的HBM產品。,https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQHayBFUETzvU6mrI-ttWHD0XqljahhGhnajiuXhLcz6qaoHVglyCrZvETprT6RInPxaG1zEHqhB-8XczpuG8ZX7ObgORu-7VNvJdkb7Au9AJKbul6W2Js9_20WxbAL55OzEcVozcblBqWvFPxi3TjR8_FnoMAy6ikqCw_37wH--q3B0ubhIqGHMfwKvFgXMMYlciWwEQUgnxAMmJq8-vjIw8lhVB0z46nes8pvcykvbg0voMwAXBTjdSFF3t5Tx8LXocR_FYzPTvHblYm6VaT6TPBud4lRHI2Bdl26545Lf05XNaLNsARjcAFInwDA_PyWiFWhO,https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQEdlnDi_415lQdByRMhVsAMNdN2s8OVRebUwUE3i6mYaRsfsrHiMrdSSnwuKYundUUAgsW9jrW7hsitVbIhe3dysjPxKLAhMhDWeGHQp8dlUIm4Cq_9aewpldh32Bn9UFcxLj0pQg==
產品發布與商業化,硬體與基礎設施,NVIDIA GTC大會發布Blackwell Ultra與Rubin GPU架構,2025-03-19,2025-03-19,NVIDIA發布新一代AI晶片架構Blackwell Ultra及Rubin GPU，加速AI模型訓練與推理，鞏固NVIDIA在AI晶片市場的領導地位，引發市場對AI產業的期待。,https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQHUX2GvjUR4VRBJeIwWguyqq729UvgRRy4iNSecOO_DfH5ZrX4GqRve-_RJla40hyb64uuBMGu3JJtRQWUyfouHTJ3bxXGvL7X_6nnHXmvcKTUfERsgXEXhsFhmgzMpzG7EmgDvEhJZe2vcn6mZmiKR4VYLoeXj7kNzRVdbbFqqT0M=,https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQFuP5iRdHrnRhunWMEY-Stryq6k8qmuD9A3oUNyYaKRNmhACNrH5-D2crRMEUvKLXfNO3A_rebD5_30nX319c_CahV3gB3ldF0Sc0Fw-pioi9e3ocT3jg111KyMVsaZ8biOeVhxD61F4TArKpXl3YBswsczRi_LcgMx0rPNVcN2ljxq7qRb4Y27fn9mJziDLTDhvyQ=
政策與監管衝擊,監管審查,中國國家市場監管總局對NVIDIA啟動反壟斷調查,2024-12-09,2024-12-09,針對NVIDIA收購Mellanox案的條件履行情況進行審查，導致NVIDIA股價下跌逾2.5%，被視為中美科技戰的延伸。,https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQGQvYMu_JHd2cIj8ogN_Uvv4hiCHnsIwdHhKe8wQAmNOa_Mdcqy1KgVt7MFXekChcZk5UEfzlbGalXDCwynmPMZvXIEDkQdOjjOEAjEo03l7Qx2sSahdRsFJdMjTNB0Wjec-zr-aLzbyRu2XTE0daI88vFJdYfqqd0WmvLWMStVNGwCQu3N-tNA2f3gSLfcIei4RKIg3I83pheUJxs2BnT43yhLBsIPKPqtycCR1cWNuyqMGZnwml52lNR6coZIMvn53xOG9euF3kEC8I_hui_RpGc_WE8h5HbDS2KnScxdA-5SKJWLopB_KI4d4fpyyd-D3CI_NcZmXCsjaHEuGOm3X6vVsNo_,https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQH0E3rRgU4Yk98oqdGNNmzk1zUCPQSIbO8uRC01fx9lGqJUXnyrlx6b3uQwIb9K6F5uB1NIu1BMcQGYn1VjyS4a4-jxK5feu2BBXwwwzmGK_vIkeCvsS_BruOKL6Zs1UQ==
產品發布與商業化,模型發布,Meta宣布Llama 2模型免費供研究及商業使用,2023-07-18,2023-07-18,Meta將其大型語言模型Llama 2開源，降低AI開發與創新門檻，引發開源AI熱潮，對AI產業格局產生深遠影響。,https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQGbLs7utLQOYqWd1TlLkAjP7Z1fcOMDQef1cJGF25vigWe-rRaMtlDOD3piOWXkQtNv8qnVqb-YEmmEou3Py9oofVUIuvdmv7mGE27wmHDdXiqiNYl-_crjdIHJuRQjjPVQTSN6UkOBJJs_F7_t,https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQFvH719VU-z_h6I8ZHf1xT-avbGu-2kfmI1Sncm5c_ypvUzYSKVstz9cgJh-XEFvtZs8w0AwtfZCaawh-rLTGbcqGS1IwJHmSk07dJjmDqMnKQ2T9Gm4A6s0VvMAi36oQS_AEZiaPR7pVQ-2Fw98ZQisk2Rgw==
政策與監管衝擊,監管審查,歐盟《人工智慧法案》正式通過並生效,2024-05-21,2024-08-01,歐盟通過全球首部全面監管AI的法律，引入統一監管框架，對企業在歐盟使用AI系統的安全性、透明度等提出嚴格要求，違規企業最高可罰全球營收7%。,https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQE_cg7XeDc-PcGr78tqIM_Olze55k57zUnW4p2tH9wMat1orxekcwrM8BlraCAwK_-30JsISbDwV56id5YV6KoK97j6LTtx3Y7x--n6Xq1VUwUVxUPaTsB8CfbYEPEvj9KsCxwJYc2xJG4LXxbew0TYWJQsdwE8-tg0PQzMXhCIUT1r5sjh7Bp8AUqjo_teHQ==,https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQHjOO1dOqRJUntsn5Lle6JgdZHp1Neh5DAw3-LXt8cchfFcORtkckNEgHRPD8g5OwL8SDyEfNGnsSCU0lkeM6fp5ic_CN5s02eNVrywPd9f16cSQCqXtwF_2RBKQjjJcpLvYnCf1-LVmpY-Oix8qUlRPNBIfg==
產品發布與商業化,生成式AI應用,Google發布AI聊天機器人Bard,2023-02-06,2023-02-06,Google推出Bard作為ChatGPT的競爭產品，但因初期回答錯誤導致Alphabet股價下跌8%，市值蒸發千億美元，顯示市場對AI產品表現的高度敏感。,https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQGOFB2Wshqu_7-9fAEP06jVkFIbGAL34qEB65xp7zv0HriCyUW8hoMi7cpjIg8al4HA4gNsSUAcWqkViVYf027paBusuTKCR7MUjjXCfllGmXlcK17aMxn-did-O07hnLJad8dnsttG,https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQGiIaas1q6QZDK66rT_6V7CFdcxhWPMBZUTlFZM61As_OgRVEy8ABvG08W0rDKGLQ9k_1VTMjBzPLtycgX0uriTTpVIipELHgJhx2Getj9MzICMA2LblSivx9GRm0V9_swmtVzQOvMZq_ClUZyDW2Fp2A==
產品發布與商業化,硬體與基礎設施,NVIDIA H100 Tensor核心GPU正式投入生產與供貨,2022-09-21,2022-09-21,NVIDIA宣布H100 GPU全面投入生產，提供給AWS、Google Cloud、Microsoft Azure等雲端服務商，加速AI模型訓練，成為AI市場一卡難求的關鍵硬體。,https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQGYT9q0p_vJgXOMST30dPFPFfOrQiRC_78nrnlIe0173d7-PGIJN_bfqycj2_igGpdJ3tR6uYIwgcjMyDFrtgRb3AaU4mRbJkQPx2_ythr6DId_c4GpRw2OQ4xs97-ghzAYUYY_L6dTCf6G7PMMRjbxCJEEcJ4MzH8VclAbwsdRT03rKeOUI6wwPSJkKOU7QGL-goRqWRQvM5rfbgdO-QlHf5jg7_zGBtMIrq28aiKlx8uh5ylW6zI7rmHMYd3D3sf3W6wNUIbNWQ7_QpsaaY0hZScVfT4D8HsVee2BVnAoB73-,https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQHYvBT9pbWB8jzEA9Lz0UMjG03YS76pTe9Yr6HeZ8fNO5mXFCVo0jtZWQC55WxK9w7hqmHnRpi9kLyZ46YQ5oCokO6-pJKBEX_S5jqV3nInHjq7W_gyYL9fHgZ2A_p8ykEUewwt
市場與資本,併購與投資,Google與Amazon高額投資AI新創Anthropic,2023-09-01,2023-10-30,Google承諾投資最高20億美元，Amazon則宣布投資高達40億美元於Anthropic，大幅提升其估值，顯示雲端巨頭積極布局AI新創以爭奪AI市場主導權。,https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQEJeMK_W4GsDeCByqnhpfHrpSyUxXu12N3zr1jARb2t0aTbbPhAYkVvHsopsU2jUgXNOXCf_heUm5HU_Qs_J57YbkpO7TbSxJydTDEE4yY8RaBcDnyMN-6YwG65Jw==,https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQFEDFD2X8safq-Mhvl-qc9OeILUeTPZmY6n5AI4PHcllVNz4BPiqEeGse9O-76Re4h-0qSkLbwjMGuDBlM_7kFDbCTj1uurTYCPQPqrwl0-E9Z9HkNPzTfNIvw4dIJoDUKP8R-k8oa9aA==
市場與資本,併購與投資,科技巨頭與新創公司AI人才爭奪戰白熱化,2025-01-01,2026-01-13,大型科技公司與AI新創為搶奪頂尖AI人才不惜重金，提供高額薪資、股票選擇權及優渥福利，導致人才流動頻繁，影響企業在AI產業鏈中的競爭力與技術發展。,https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQEZDbQF9_vRAed5buXjxIQPKvkeP-r_k-perRl8Uzi4LGn2U8No4D2MCcTm7-ng4h5GcbFe8zCSqYpnAYlVKdyqXicji4FIXiIkrjgoaNPt_ERjML2RMYz6TjV_jqiPoJbEC-CyFkljVguL7g==,https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQEvjtCYslL7HdkKFD1jRrNxCjxRIZlZY_spXmzgEr4kQLTdphEl3VEG3J5mMU2aOLU6UgBQgju5kl8FuMo6X2eqeFudM7Xqeeypb5MH8Bqx0BMItrJaly9Dizn4oYt-5dg==
產品發布與商業化,生成式AI應用,OpenAI推出GPT Store,2025-01-10,2025-01-10,OpenAI模仿App Store概念推出GPT Store，允許用戶分享客製化GPT，並計畫啟動建構者收入計畫，激勵開發者，擴展AI應用生態。,https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQFzQ961H7YMFIFWiJbQyMRvsoqg0rCl_CzTzq-NNb-0RyY7Dt8NGhOxsk1I_9RR4-NomFkoW0CNp7OJ6Vf0bxMSBupGDN5-PMQ4PqLaxytch1CJ6ywg-IcrPn3Shgqz9YH_NZs86c-GzOzimzDcJfI0advoltFIvKw=,https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQHapoal2tBSh0DP9hxdfBKezxexunrLP-Foi6ba2zmYMJY8Zna27jr8SM-OD6rzuVkl3WRKtPZ5ZY5TXfL-Jn1IbUVrZI7Uy4eXqktMNwD_ofQhr5AM7A08ltqvjz0Isr4hvuWOptpUgw==
