以下是從1990年至今，導致全球（美國）或台灣股市顯著下跌（崩盤、修正或熊市）的歷史事件列表，以繁體中文CSV格式呈現。

"類別","子類別","事件名稱","開始日期","結束日期","備註","Link1","Link2"
"地緣政治","政治黑天鵝","2002年安隆案與公司醜聞","2001-12-02","2002-07-30","安隆公司倒閉，引發一系列美國公司會計醜聞，重創投資人信心，導致股市下跌。","https://en.wikipedia.org/wiki/Enron_scandal",""
"公共衛生","傳染病爆發","2003年SARS疫情","2003-04-18","2003-04-28","台灣股市因恐慌情緒，從4,633點狂跌至4,044點，跌幅21.34%。","https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQHw-EGkBLSna_JTPj9Ov_Z_csN_JM2pGLNuK6gOqcya42y6e-fi5fGWihceaclhNL4w6urS6T4GFwiNie0EJPsasGGRclQMDkHyMa3NWO7JyrjZQCJGPgC0iBhiAjBNU234YJx2gMof_JEtLA==","https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQFdFrQmp-1hFvHcxfcHUop042KvvQK6KbKkT4nQau-DlASBZpV4GnvC8P8Mi14D58KgOTIPqbbY-5YRy4SPv4jqM75VTMLgyvSt5k9ToK1O4FQ5oG78VxWaX2XwCYsvwt1Hl0Juug=="
"地緣政治","政治黑天鵝","2004年陳水扁總統319槍擊案","2004-03-19","2004-08-05","台灣總統大選前夕發生槍擊案，引發全台恐慌。台股從6,833點下跌至5,355點，跌幅21.63%。","https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQHw-EGkBLSna_JTPj9Ov_Z_csN_JM2pGLNuK6gOqcya42y6e-fi5fGWihceaclhNL4w6urS6T4GFwiNie0EJPsasGGRclQMDkHyMa3NWO7JyrjZQCJGPgC0iBhiAjBNU234YJx2gMof_JEtLA==",""
"政策衝擊","其他政策衝擊","2004年國際油價上漲","2004-04-30","2004-05-31","國際油價升破每桶40美元，全球股市下跌，台灣股市大跌237點。","https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQEeYON4VzzeE6uU4JkZ_ztxHPXUbCO-bEqssXyF4ErlcnPCANtV0IIuA7qnFYda-4ulh6sSBOQjoVwnL1sXHliX8hdQ6X5zDl50vu34eAjoJNcAof9Z6n-AWaa-qsKvMVtRz1ESxcTacqYLLWhLnp7yZIvqQN1iLbtJSB-wwGU=",""
"金融危機","次貸危機","2007-2009年全球金融海嘯","2008-05-19","2008-11-20","美國第四大投資銀行雷曼兄弟破產引發連鎖反應。台股從9,295點下跌至4,089點，跌幅57.51%。全球股市全面巨幅下跌。","https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQHw-EGkBLSna_JTPj9Ov_Z_csN_JM2pGLNuK6gOqcya42y6e-fi5fGWihceaclhNL4w6urS6T4GFwiNie0EJPsasGGRclQMDkHyMa3NWO7JyrjZQCJGPgC0iBhiAjBNU234YJx2gMof_JEtLA==","https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQFQgOd-sWTpbcYNLpu2TWRAURgDs6oQgwoVzcKr6Z53f5IzBGX-cRv-eF_4JDA64ELVfFmgKAytSX0ZatLnujJAjpuYPBJN8XQitLbz9AQxzL8oFEqNCCBp7yGRBuCXxDJB0Y0W0w=="
"政策衝擊","政治黑天鵝","2008年美國總統大選不確定性","2008-09-01","2008-11-04","金融海嘯背景下，美國總統大選的不確定性加劇市場觀望情緒。","https://www.cfr.org/blog/election-and-financial-crisis",""
"金融危機","其他金融危機","22008年冰島金融危機","2008-10-06","2008-10-08","冰島三大銀行國有化，國家經濟崩潰，對歐洲和全球金融市場造成衝擊。","https://en.wikipedia.org/wiki/2008%E2%80%932011_Icelandic_financial_crisis",""
"地緣政治","政治黑天鵝","2010年美股閃電崩盤","2010-05-06","2010-05-06","道瓊工業指數在5分鐘內暴跌600點，市值蒸發近1兆美元，創美股史上單日最高跌幅。","https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQHYfXFlwZoOOUtH9YOAWiU3AilKTBWhaDJ1N9TpgbbKnSr3ggcLUzySxpG85-elkcn5cG5yEDKRUiTX64JbUwD8yuZW5r-S6Wpkc2g-msY4_mQ-hMrMtQ8atPhMTv6HND3mDpVVyHgM2RGF3AE=","https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQEDpatSdxtW6EYMw-85L3R_Ihb8CftV8IbsbRInMqmqakRolNKYYwUurU0GIALN9Yv6qXYwAnsNyrLPEo3UkRXlvgwCl37wxJ7icK6MGIwl96Cu3vpa9uT3FDis38szE1hzFSjnqSN1Ra5CFAnG2I4s"
"金融危機","歐債危機","2010-2012年歐債危機","2009-12-01","2012-12-31","希臘債務危機引發，歐洲國家陷入嚴重危機，影響全球股市，美股在2010年4月至6月震盪下跌。台股亦受影響，直到2011年12月跌至6,609點。","https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQHw-EGkBLSna_JTPj9Ov_Z_csN_JM2pGLNuK6gOqcya42y6e-fi5fGWihceaclhNL4w6urS6T4GFwiNie0EJPsasGGRclQMDkHyMa3NWO7JyrjZQCJGPgC0iBhiAjBNU234YJx2gMof_JEtLA==","https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQH6twk34Yv-TGDtcyQAKGWH0bMXn8eAzswv4VQhWLkE68WFd0CcHdRa2E4Vki-YssoAfgxYVjGD-6eFSsjnKlgEh1dBHSbDeGC3IBA2pd7KUbnryfmYc5WlLq680JAI9W78ZJghhb_hdcTpj9k="
"地緣政治","政治黑天鵝","2011年美國債務上限危機","2011-08-01","2011-08-05","美國政府在債務上限問題上無法達成共識，標準普爾下調美國主權信用評級。美股連續暴跌，引發全球股市集體崩盤。台股下跌持續四個多月，至6,609點。","https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQHw-EGkBLSna_JTPj9Ov_Z_csN_JM2pGLNuK6gOqcya42y6e-fi5fGWihceaclhNL4w6urS6T4GFwiNie0EJPsasGGRclQMDkHyMa3NWO7JyrjZQCJGPgC0iBhiAjBNU234YJx2gMof_JEtLA==","https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQGaK2drPoqtFJfVhtmX2y2N45tQK6aJEwaNt7pYttrnTXyZkgPOtO1fDBhC9VcxqQdUq-XladG8MKyIFEbnidBKsKyTpMy3cytqUaSitXzPSt0S1_bdZhy85y4DaA=="
"自然災害","重大震災","2011年日本311大地震","2011-03-11","2011-03-15","日本東北部發生強烈地震和海嘯，日本股市跌幅近兩成，日經225指數單日跌幅6.18%。亞洲股市震盪劇烈。","https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQF2HIlwWQfDR6BehJ3g6c8bo5uefAQo_gLa9RgM_J4JhDDiWEttzRwR8UFt45ceuqOt1H-5MOZAM5mgCDELvR_-xh1Qk1M-os9Dc3wyw26LtqUeASgjiUsXNB7CnMYCgrWcpMGT",""
"政策衝擊","貨幣政策","2013年量化寬鬆退場 (Taper Tantrum)","2013-05-22","2013-08-31","美國聯準會暗示將縮減購債規模，引發全球資金外逃，導致股市狂瀉，S&P 500指數跌幅5.8%。","https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQEfNvbyT7BmMS3dWeBTgPi-RGVoHEkq9zWo5szculJzNc04jA0ptLqe4FMzkgObAPmcFXqCadJhzwfpzND_33-t9_YfBiX916J3u4irZZ8A3sIMgiZzgD3Vs_C2JPOITXUZ59GiAr46Qy0=","https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQHbQHpaFouIRVryzpZC6nAN77IKR6aHvEle-baizZpiDM8hehgzDlJiQkl5rLugR1ZYWSI4Gk3XbouL2DamiyHKApy29Z_qqpi0GZXbIjTGM2Mg_cxml3YrZQXV29Yh2OBU"
"金融危機","其他金融危機","2014年國際油價暴跌","2014-06-20","2014-12-31","國際油價因供應過剩等因素斷崖式下跌，紐約和布倫特油價全年跌幅接近五成，重挫歐美股市，迪拜股市崩盤。","https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQGgR-q3-t0Kyen8B_EOFwwzay2WmN7JcKaGUbYmL-0e9gn2bKcHFwP9Zh5O-HVtpU1ez-FQpcmZAiMZg3kqXeXahXLmXrUbY1p921V2mmWQnVqfSFYnhM_G7EovMF7O7_TFld59X8fF_nnSX8Fq5kpUwm8=","https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQGAnumxw-NUPiqMD0R5QChC-ZHc9l5bCzeTpDdiwNRElzLjB8cTyOeN_p0_0Ir-zoDuwIvt1_kkP7zQYhvRIK_muNzhLm_ed3B7SZyYXRVpRwr5wETVis4MQNl1Khux5Y1c9Gxj9pvxArlTM3K2Qs6yYJEGEw4="
"金融危機","其他金融危機","2015年中國股災","2015-06-12","2015-08-26","中國股市上證綜指及滬深300指數於兩個多月急跌45%，創業板指跌幅高達55.9%。台股從10,014點下跌至7,203點，跌幅28.07%。","https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQHw-EGkBLSna_JTPj9Ov_Z_csN_JM2pGLNuK6gOqcya42y6e-fi5fGWihceaclhNL4w6urS6T4GFwiNie0EJPsasGGRclQMDkHyMa3NWO7JyrjZQCJGPgC0iBhiAjBNU234YJx2gMof_JEtLA==","https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQFNjcIDhdvIjvBccxp7j331f7eiO0_GvmutKAngAhoaUQh8ZslpXr7FmT2ak5-rAHS04KnDn-1WLYRQGzzLCUnxWNah44s-nDyBSHvfA_XHLmrPNUywgzp9KSLlAsPX5TYFN-SdwVWmg4X7sR7vTsKOLwhhMt1DN_BH"
"金融危機","歐債危機","2015年希臘債務危機","2015-06-29","2015-07-13","希臘債務危機急劇惡化，銀行關閉，股市休市。全球股市遭遇「黑色星期一」，亞洲主要股指全線大跌，道瓊工業指數下跌1.55%。","https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQFNjcIDhdvIjvBccxp7j331f7eiO0_GvmutKAngAhoaUQh8ZslpXr7FmT2ak5-rAHS04KnDn-1WLYRQGzzLCUnxWNah44s-nDyBSHvfA_XHLmrPNUywgzp9KSLlAsPX5TYFN-SdwVWmg4X7sR7vTsKOLwhhMt1DN_BH","https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQGFU8jIGRTHuNkJYBi6u7PUDzSvYZohIpkodjIyQtIxaaYSU8jsUs_2Ufv_eyB5CIP6DwNSBILj83HS32qtBGZoiPxSwCD8jtwpqkXnT0mdkqrAE2Wh_f9rEnrYT7phUzWOqlooxLZacSPQ0u75UGjGnyhvskn8hBF-8EH-cfq1i0BdwhbeHoehCdSadhb-9VFEb_R2bqHUP3QYNyHPcpC9lQVZIxwhsMCWvpYljXhoHieRDS8lR6ytOYmORm0DAmCp284EsStgqgi64msN8FIauBSR66pzCecymevvF8DrHfW27sAo4tDjrJN8nYNSiIFrkBE6dx0RyDtHH7HTCVhN0KBdQ9Ds6bsBNfm4ItwtwIFeccKtN5haIdCQOXNEn-wIbFR3mXQsEirfDR9E"
"地緣政治","政治黑天鵝","2016年英國脫歐公投","2016-06-23","2016-06-27","英國公投決定脫離歐盟，引發全球市場震盪。道瓊工業指數單日暴跌3.39%，日股暴跌7.92%，歐股跌幅普遍超過6%。","https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQHN66zPHY_EaSzL0pwncZ9pSY-PGqhxR1fER5wFe9h-fOOpwcUiEBTkUqe8l8UH6zDszObK0bJrHJlQNdlRVS-sc4kpXEpfptkfr1GBjf9OFm6CdTuq2e8a-Swi0GWy2_fi",""
"地緣政治","貿易戰","2018-2019年美中貿易戰","2018-10-01","2019-08-06","美國對中國商品加徵關稅，引發市場恐慌。台灣加權指數2018年10月至12月跌幅約15.8%，2019年4月至8月跌幅約8.2%。","https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQGYAcmAahFDWtWuxwGeLGMPAnoVXnyTGGdI3c_qPGaqil_e1_iPS_rohrGjHrOS0PhVVi0pir1btQI-AjqQ_C-SyIf5-BhQb1KBnOI885n4bFBY7WE94-cMxhpY3e_EmwaiZqo=",""
"公共衛生","傳染病爆發","2020年COVID-19疫情","2020-02-01","2020-03-19","新冠肺炎疫情全球爆發，引發市場對全球經濟停滯的極端恐慌。台股加權指數從12,151點下跌至8,523點。美股創次貸危機後最大跌幅。","https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQHw-EGkBLSna_JTPj9Ov_Z_csN_JM2pGLNuK6gOqcya42y6e-fi5fGWihceaclhNL4w6urS6T4GFwiNie0EJPsasGGRclQMDkHyMa3NWO7JyrjZQCJGPgC0iBhiAjBNU234YJx2gMof_JEtLA==","https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQE4KYOsLWww183svoX-qsbWx2izYOAMFvyXRsUtr-cBfm24KSOlctl8gpC1UczNq81p34aL42pS29LuBZG8XQB8RgOSXrW6wNNkUHoLi4f8qWTm37QtbP7UxfIAOIXG28_yEJQ88qTv74sSHA2csVyQXT7k7MpEmOgmK20NQpVQTNP934uiae8sJW1ADhg0oCVT0yC-IdlMJejImhFwRJJE8dA=="
"金融危機","其他金融危機","2020年負油價事件","2020-03-09","2020-04-20","俄羅斯與沙烏地阿拉伯石油價格戰，加上疫情導致需求銳減，國際油價暴跌至歷史上首次負值，引發全球股市暴跌。","https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQFjQ-Oycg-eKntMolhkAn8cFdt9wG5yoe9dYqp4CJ2YXoVLUiBfaPzEDx5MED_ElLmBxVoCyxYsE5iAHSPaESsq37P3vVPKGCwz3S62uSUBuu0UFrsyOjeZcMoLA_2nBzbSypNsCAZzZJcdS6opHrteVnURAjo21ebz9ElDvhtr-QXdrLCK7htfQcKYICaWdoZtyiYVUQ9WE7GAzMmwEd6OT93g0Mq9f-QdJK7rLvVn3SYkeKQ1kYwWlVXTSFBxiZy6bUUjNGYDrLDI_o-D0tKdJD_sIcNSkL9EwcGGzUBaTXJu6AfZ",""
"金融危機","其他金融危機","2021年恆大危機","2021-09-20","2021-12-03","中國房地產巨擘恆大爆發財務危機，引發市場對系統性風險的擔憂。美股道瓊工業指數重挫1.8%，港股、日股也大幅下滑。","https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQFqpKJ4HPQhdZhLd3KQk5ED0UybY2jhMSrTZumRYJnXSE2KkgLNvxC4p3ONswa8o0blnBhfJpaOAY94-FrMJHPoxxh5yThrQtenIbSLutpGy1qw-ozIbTCgwwziWpHQRD-NfEgnzA==","https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQHG3CkGWS9imvShchw3vUulF5OQvOyCAPWhO-tRuktuRHEoDvYLc7XhyF3VzMmwq-M4bF-p-pMloM4ODUHsw_5TeY5K406cFXtUKdpDBbTGOz3armScB8Cmje8y3CcWcb96vHegh-e9umRJVFKT5O1NrzQe-8lHwCZaX-_pK0VOZuuoFDuTXezH881DA1rGGqZELroTrxF0c5vDnHV5_qb2PJfx7oyb1qOGeNN7ECgJ_lh9PVB0GB7KQsZhaeAtm5jlPNjmtaXVOVDUs5T0uVFD5RlC0s1ppRRLwz5Kzr1lVoJo0rXBDbYDkS-1tlJtQn09qXF7VDscjKmGEv-v22Q8xAFzOvYmz_6rDwcN5GmUs65ZuNbzwz0P2qaeyow5bnnA=="
"地緣政治","戰爭衝突","2022年俄烏戰爭","2022-02-24","2022-02-25","俄羅斯入侵烏克蘭引發全球金融市場巨震。俄羅斯RTS指數下跌近42%，台灣加權指數當日大跌2.55%。","https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQH9lJLDymyPF6Vj-ueJS9O1e0bDYQ1MF2c83jr_PyX5wh4uNgScS3UDs5P0uzhDcYMMjf3AUm_LyagTTqpLvI_FljjqNqXro5D3V92j_Kn0zAnSMeQVTSe5KZZw3TMm6Q0K-hz1xBHZCfWPGhj9LRIHb1cmCF6NBnu5s4S6fGS8SGGThOUXnhYBnbt_7o0DGMjsTeTxk1WQRENeP1yLAkfOmjunn0WDjmjL_O74AGvHQdsnDC-GF0bl2-CftDbQkskx3FQ7hg==",""
"政策衝擊","貨幣政策","2022年聯準會激進升息","2022-03-16","2022-12-31","聯準會為對抗通膨而激進升息，導致美股標普500指數全年跌逾19%，那斯達克指數跌幅達33.1%。台股也受到影響。","https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQETNLSKC7lyP7usZDbudeLOCK2CfXoSWVpL6X6vpItW49zipPvRfU8AOeYnLTEzLc5A1A9sFVL5FBSZ6myyJD6C6nRCTtbMqsTbgGu-kNMMWbeLMNgiIn3f9HKg6yVLkKy5loJmFld8oHmNe3A=",""
"政策衝擊","政治黑天鵝","2022年英國迷你預算危機","2022-09-23","2022-10-07","英國政府公布「迷你預算」引發市場動盪，英鎊急跌，英債大漲，英國央行被迫動用650億英鎊救市，多個退休基金瀕臨崩潰。","https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQGJUe_V5uC5j7x6e0vSCcaUuV_fsaIQRl7qJeG6I1kqFUnCEenkUnu6PMF2yZ87Iz2afGgkp95TGp5QioPb4WOSJ89GBU8ztowTsNx7uTMp2Nr4no7jnXNciIqE860IPBNg","https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQH6V05BP-o7pBGcMdzJMlUlQ5H1IY0Omh36zhTiV8GAzghy2xC513S3hH4D26Zy_e3S6rFOc0T8fyFzTEnhq52xHt4nyA4IlF-sfTcxqEfCjClKisMWc4r-36g9_9uS0QRYoMdwM-Q="
"金融危機","銀行倒閉","2023年美國地區銀行倒閉潮","2023-03-10","2023-05-04","矽谷銀行、紐約簽名銀行、第一共和銀行相繼倒閉，引發市場對金融系統穩定性的擔憂。美國銀行股大幅下挫。","https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQHAks1uOaUPxgUiB7UC4DZcBz9oDNnGYUWfdACl0RbSmttUNchQJxLVVFOr-Dkdw2YqEPO-c1geV81u-KVVeo1no0KQvX9iGHFJjPXFx_tMxsN8IXOfNhB15z84wCvfUXk4RqABoFlzAMuLsVM8HpB3DlC-UGOqI5Fasju62GBKxQtjGZyDvdJAN7Me",""
"地緣政治","政治黑天鵝","2023年美國債務上限危機","2023-01-19","2023-06-03","美國國會兩黨在債務上限問題上僵持不下，引發市場對美國政府違約的擔憂。2011年債務上限危機期間，S&P 500指數曾單日下跌6.7%。","https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQGaK2drPoqtFJfVhtmX2y2N45tQK6aJEwaNt7pYttrnTXyZkgPOtO1fDBhC9VcxqQdUq-XladG8MKyIFEbnidBKsKyTpMy3cytqUaSitXzPSt0S1_bdZhy85y4DaA==","https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQFcPUe6AKb-rLTEUz1qdpwTCLJrpJQU0SRTDNVL9Ui2_iMHkkrv9dq21ly69CpYmRcS4t33tWH4kA9r2I_t-UEQSrYgHTXddm0Iib0FvwyXLwuMRxnHI78F1Yo0Qf0Gj3R-8yUlfC-oFA=="
